X	Z	Y	O	d_P-Ni311_1
-14.395	6.678	3.986	-12.895	1.08449
-12.2	6.678	4.614	-21.553	1.085395
-10.046	6.678	5.19	-37.618	1.085695
-7.955	6.678	5.553	-37.618	1.085972
-5.889	6.678	5.647	-42.206	1.086143
-3.877	6.678	5.662	-52.904	1.086182
-1.887	6.678	5.402	-56.962	1.08609
0.081	6.678	5.101	-59.08	1.086232
2.03	6.667	4.687	-53.113	1.086104
3.953	6.667	4.292	-59.163	1.086059
5.881	6.667	3.939	-54.347	1.086208
7.798	6.667	3.517	-54.347	1.086198
9.722	6.667	3.081	-57.679	1.086058
11.659	6.655	2.688	-55.991	1.085914
13.619	6.655	2.251	-57.45	1.085684
15.587	6.655	1.799	-57.45	1.085182
-14.119	4.683	4.448	-13.816	1.084216
-11.856	4.683	5.026	-20.471	1.085068
-9.668	4.683	5.603	-32.562	1.085362
-7.559	4.683	5.84	-38.643	1.085686
-5.524	4.683	5.867	-44.715	1.085837
-3.545	4.683	5.813	-50.744	1.085877
-1.599	4.683	5.647	-57.693	1.085829
0.306	4.671	5.312	-59.576	1.085833
2.206	4.671	4.862	-59.576	1.085854
4.095	4.671	4.47	-54.338	1.085768
5.994	4.671	4.077	-54.338	1.085766
7.915	4.659	3.69	-55.988	1.085644
9.868	4.659	3.218	-55.988	1.0855
11.873	4.659	2.729	-55.988	1.085116
13.865	4.659	2.296	-57.441	1.084952
15.846	4.659	1.853	-60.938	1.084467
-13.993	2.678	4.754	-15.039	1.084109
-11.833	2.678	5.288	-21.131	1.085
-9.699	2.678	5.843	-27.151	1.085446
-7.622	2.678	6.156	-39.319	1.085566
-5.574	2.678	6.169	-45.392	1.085638
-3.559	2.678	6.095	-51.412	1.085787
-1.571	2.678	5.849	-57.569	1.085614
0.384	2.678	5.467	-60.381	1.085748
2.333	2.678	5.052	-60.381	1.085711
4.258	2.666	4.587	-55.135	1.08574
6.176	2.666	4.227	-55.135	1.085405
8.097	2.666	3.76	-56.774	1.085326
10.011	2.666	3.359	-56.774	1.085244
11.938	2.655	2.834	-56.774	1.084961
13.867	2.655	2.367	-58.596	1.084642
15.814	2.655	1.964	-58.596	1.084292
-13.903	0.683	4.969	-14.867	1.083907
-11.72	0.683	5.532	-21.504	1.08493
-9.595	0.683	6.045	-27.524	1.085414
-7.511	0.683	6.319	-39.691	1.085569
-5.462	0.683	6.405	-45.763	1.085685
-3.453	0.683	6.279	-51.776	1.085571
-1.479	0.673	6.03	-58.77	1.085664
0.483	0.673	5.686	-60.697	1.085503
2.412	0.673	5.23	-60.697	1.085505
4.335	0.673	4.8	-55.622	1.085393
6.257	0.663	4.335	-55.622	1.085304
8.165	0.663	3.933	-57.255	1.08529
10.091	0.663	3.419	-57.255	1.085098
12.012	0.663	3.016	-57.255	1.084743
13.966	0.653	2.518	-58.883	1.08464
15.927	0.653	2	-58.883	1.084221
-11.681	-1.314	5.721	-21.589	1.084888
-9.564	-1.314	6.207	-27.608	1.085482
-7.474	-1.314	6.5	-39.768	1.085584
-5.435	-1.314	6.579	-45.843	1.085608
-3.43	-1.324	6.417	-51.862	1.08567
-1.442	-1.324	6.218	-58.05	1.085649
0.516	-1.324	5.785	-60.917	1.085565
2.452	-1.324	5.339	-60.917	1.08538
4.384	-1.324	4.89	-55.788	1.085379
6.291	-1.334	4.525	-55.788	1.085231
8.209	-1.334	4.037	-57.302	1.085256
10.12	-1.334	3.52	-57.302	1.084914
12.042	-1.344	3.087	-57.302	1.08487
