time	size	Position				gain	samples (3)		
		az	el	region_type	region_ID				
1111111	10	0.7	-0.1	1	4	40	0.361358537	0.924940989	0.476165854
1111112	10	0.9	-0.1	1	4	40	0.157334404	0.965901723	0.8487847
1111113	10	1.1	-0.1	1	4	40	0.114315107	0.101304054	0.430552638
1111114	10	1.3	-0.1	1	4	40	0.72485143	0.292217202	0.398807113
1111115	10	1.5	-0.1	1	4	40	0.968001027	0.899049691	0.072604841
1111116	10	1.7	-0.1	1	4	40	0.693286874	0.468478564	0.231692357
1111117	10	1.9	-0.1	1	4	40	0.245350889	0.649302438	0.864083429
1111118	10	2.1	-0.1	1	4	40	0.610551061	0.410296878	0.696429115
1111119	10	2.3	-0.1	1	4	40	0.385871885	0.147101673	0.599135281
1111120	10	2.5	-0.1	1	4	40	0.815657218	0.359923327	0.244355926
1111121	10	2.7	-0.1	1	4	40	0.747577973	0.990528394	0.502516903
1111122	10	2.9	-0.1	1	4	40	0.50384251	0.757717939	0.304764243
1111123	10	3.1	-0.1	1	4	40	0.067893369	0.632484537	0.480706427
